KABUPATEN ASMAT,"9118","91",1
KABUPATEN SUPIORI,"9119","91",1
KABUPATEN MAMBERAMO RAYA,"9120","91",1
KABUPATEN MAMBERAMO TENGAH,"9121","91",1
KABUPATEN YALIMO,"9122","91",1
KABUPATEN LANNY JAYA,"9123","91",1
KABUPATEN NDUGA,"9124","91",1
KABUPATEN PUNCAK,"9125","91",1
KABUPATEN DOGIYAI,"9126","91",1
KABUPATEN INTAN JAYA,"9127","91",1
KABUPATEN DEIYAI,"9128","91",1
KOTA JAYAPURA,"9171","91",1
KABUPATEN SORONG,"9201","92",1
KABUPATEN MANOKWARI,"9202","92",1
KABUPATEN FAK FAK,"9203","92",1
KABUPATEN SORONG SELATAN,"9204","92",1
KABUPATEN RAJA AMPAT,"9205","92",1
KABUPATEN TELUK BINTUNI,"9206","92",1
KABUPATEN TELUK WONDAMA,"9207","92",1
KABUPATEN KAIMANA,"9208","92",1
KABUPATEN TAMBRAUW,"9209","92",1
KABUPATEN MAYBRAT,"9210","92",1
KABUPATEN MANOKWARI SELATAN,"9211","92",1
KABUPATEN PEGUNUNGAN ARFAK,"9212","92",1
KOTA SORONG,"9271","92",1
